|NAME                     |ADDRESS                  |CONSUMER_COUNT |MESSAGE_COUNT |MESSAGES_ADDED |DELIVERING_COUNT |MESSAGES_ACKED |
|$.artemis.internal.sf.static-cluster.162efd5f-e507-11e8-b4d2-005056a8968d|$.artemis.internal.sf.static-cluster.162efd5f-e507-11e8-b4d2-005056a8968d|1              |0             |4567           |0                |4567           |
|CAPI.INT.APIPROCESSOR.TOKENIZATION.PARTIES_V1.A.RS.Queue|CAPI.INT.APIPROCESSOR.TOKENIZATION.PARTIES_V1.A.RS.Queue|0              |0             |0              |0                |0              |
|CAPI.INT.APIPROCESSOR.TOKENIZATION.PARTIES_V1.B.RS.Queue|CAPI.INT.APIPROCESSOR.TOKENIZATION.PARTIES_V1.B.RS.Queue|0              |0             |0              |0                |0              |
|CAPI.INT.APIPROCESSOR.TOKENIZATION.RQ.Queue|CAPI.INT.APIPROCESSOR.TOKENIZATION.RQ.Queue|0              |0             |0              |0                |0              |
|CAPI.INT.APIPROCESSOR.TOKENIZATION.RS.Queue|CAPI.INT.APIPROCESSOR.TOKENIZATION.RS.Queue|0              |0             |0              |0                |0              |
|CAPI.INT.APIPROCESSOR.TOKENIZATION.TRANSFERS_V5.A.RS.Queue|CAPI.INT.APIPROCESSOR.TOKENIZATION.TRANSFERS_V5.A.RS.Queue|0              |0             |0              |0                |0              |
|CAPI.INT.APIPROCESSOR.TOKENIZATION.TRANSFERS_V5.B.RS.Queue|CAPI.INT.APIPROCESSOR.TOKENIZATION.TRANSFERS_V5.B.RS.Queue|0              |0             |0              |0                |0              |
|CAPI.INT.APISERVICE.PARTY.CONSENT.RQ.Queue|CAPI.INT.APISERVICE.PARTY.CONSENT.RQ.Queue|0              |0             |0              |0                |0              |
|CAPI.INT.APISERVICE.TOKENIZATION.REQUEST.Queue|CAPI.INT.APISERVICE.TOKENIZATION.REQUEST.Queue|0              |0             |0              |0                |0              |
|CAPI.INT.APISERVICE.TOKENIZATION.RESPONSE.Queue|CAPI.INT.APISERVICE.TOKENIZATION.RESPONSE.Queue|0              |0             |0              |0                |0              |
|CAPI.INT.APISERVICE.TOKENIZATION.TOKENIZED.DATA.Queue|CAPI.INT.APISERVICE.TOKENIZATION.TOKENIZED.DATA.Queue|0              |0             |0              |0                |0              |
